Watch time,Stream time,Peak viewers,Average viewers,Followers Prev Yr,Followers,Followers gained,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours
6917573295,111585,348593,61993,4101063,9043160,4942097,1,0,2217170.928,35.76442308
6622047810,521235,253831,12704,3821821,4061076,239255,1,1,2122451.221,167.0625
6263825640,82980,3442745,75485,12241985,15430621,3188636,1,0,2007636.423,26.59615385
5740774005,111765,126238,51364,11483408,11981015,497607,1,0,1839991.668,35.82211538
5015411025,211860,125341,23673,1053268,1367770,314502,1,0,1607503.534,67.90384615
4808510700,36330,1098636,132356,685273,3043007,2357734,1,0,1541189.327,11.64423077
4397973510,140745,215660,31247,2426465,2967235,540770,1,0,1409606.894,45.11057692
3849415755,150030,82098,25657,2323232,2562946,239714,1,0,1233787.101,48.08653846
3802581165,160065,152249,23756,1401412,1789303,387891,1,0,1218776.014,51.30288462
3737012790,98280,151594,38024,2920113,3998038,1077925,1,0,1197760.51,31.5
3416028195,179685,166223,19011,545416,656754,111338,1,0,1094880.832,57.59134615
3328742745,110610,205471,30094,3970500,5064402,1093902,1,0,1066904.726,35.45192308
3220207860,233130,48921,13812,6170264,6250676,80412,1,0,1032117.904,74.72115385
3054694995,49665,266793,61506,1727377,2805389,1078012,1,0,979068.9087,15.91826923
3039775005,486285,295493,6250,5893277,6272711,379434,1,0,974286.8606,155.8605769
3003643215,139920,105954,21467,726973,890549,163576,1,0,962706.1587,44.84615385
2968378320,146070,207866,20321,1164217,1714324,550107,0,0,951403.3077,46.81730769
2855306805,161895,120011,17636,1668191,2159527,491336,1,0,915162.4375,51.88942308
2804746725,53865,360947,52069,14546349,16137856,1591507,1,0,898957.2837,17.26442308
2798377740,128295,215165,21811,2573085,3304282,731197,1,1,896915.9423,41.12019231
2797562610,509265,166788,5493,636012,711679,75667,1,0,896654.6827,163.2259615
2661562515,150090,127557,17733,1445415,1600214,154799,1,0,853064.9087,48.10576923
2351358060,136335,102970,17246,1594649,4615150,3020501,1,0,753640.4038,43.69711538
2349633915,144330,156716,16279,10459150,10760732,301582,1,0,753087.7933,46.25961538
2325432015,125340,65775,18552,934877,1044291,109414,1,0,745330.774,40.17307692
2290522215,187920,48646,12188,590568,661198,70630,1,0,734141.7356,60.23076923
2276896935,62055,272205,36691,442515,760715,318200,1,1,729774.6587,19.88942308
2233826220,146310,30882,15267,445286,563099,117813,1,0,715969.9423,46.89423077
2212321215,48480,403954,45633,6303875,9064326,2760451,1,0,709077.3125,15.53846154
2209898940,125355,56762,17629,2917255,2961886,44631,1,0,708300.9423,40.17788462
2164172550,87960,357257,24603,13404407,14848698,1444291,1,0,693645.0481,28.19230769
2076746145,50430,440432,41180,1479203,1899354,420151,1,0,665623.7644,16.16346154
2064079320,166740,35130,12378,599299,617352,18053,1,0,661563.8846,53.44230769
2062544310,121530,137733,16971,1564860,1834264,269404,1,0,661071.8942,38.95192308
1993852185,176880,53894,11272,723245,822139,98894,1,0,639055.1875,56.69230769
1903927485,106725,154553,17839,821141,966219,145078,1,1,610233.1683,34.20673077
1849771905,34950,824255,52926,6549087,6855524,306437,1,0,592875.6106,11.20192308
1813814130,123300,236159,14710,336502,1122289,785787,1,0,581350.6827,39.51923077
1812610305,48120,211881,37668,1855050,2036848,181798,1,0,580964.8413,15.42307692
1801683135,55245,159115,32612,6441558,9350442,2908884,1,0,577462.5433,17.70673077
1796462325,153735,48808,11685,631241,709180,77939,1,0,575789.2067,49.27403846
1790272935,116805,94536,15327,3245645,3871436,625791,1,0,573805.4279,37.4375
1786627350,105090,76716,17001,6246907,6947972,701065,1,0,572636.9712,33.68269231
1765809090,85185,1745462,20728,10599590,11878408,1278818,1,0,565964.4519,27.30288462
1765143120,113715,47393,15522,1084890,1428305,343415,1,0,565751,36.44711538
1729466070,145350,114565,11898,516957,736484,219527,1,0,554316.0481,46.58653846
1715324730,97650,66491,17565,947732,1041131,93399,1,0,549783.5673,31.29807692
1711687935,127680,74903,13406,3269581,3518844,249263,1,0,548617.9279,40.92307692
1702272870,75240,180846,22624,1110555,1709416,598861,1,0,545600.2788,24.11538462
1674125415,115785,93182,14458,575992,725915,149923,1,1,536578.6587,37.11057692
1653994935,83265,176972,19864,1374806,1657511,282705,1,0,530126.5817,26.6875
1634585340,162975,165048,10029,1061596,1214015,152419,1,0,523905.5577,52.23557692
1626781920,106230,100121,15313,8821549,8886559,65010,1,1,521404.4615,34.04807692
1599410550,151800,37112,10536,1131694,1234034,102340,1,0,512631.5865,48.65384615
1599111795,180375,38741,8865,1077319,1454832,377513,1,0,512535.8317,57.8125
1594283745,97320,52943,16381,5171598,5296635,125037,1,0,510988.3798,31.19230769
1587863475,96570,260463,16442,11499,235527,224028,1,0,508930.601,30.95192308
1582172430,115440,28517,13705,1146776,1178638,31862,1,1,507106.5481,37
1538908935,64455,202216,23875,4835672,5273464,437792,1,1,493240.0433,20.65865385
1519197690,159945,70985,9498,1475642,1564050,88408,1,0,486922.3365,51.26442308
1511255235,111420,129457,13563,5876610,7173148,1296538,1,0,484376.6779,35.71153846
1503163725,103815,185921,14479,449558,677284,227726,1,0,481783.2452,33.27403846
1490883510,47580,102021,31334,518930,816390,297460,1,0,477847.2788,15.25
1488898305,75240,82463,19788,1537409,1650107,112698,1,1,477210.9952,24.11538462
1450168260,68445,75678,21187,2051027,2074909,23882,1,0,464797.5192,21.9375
1446793575,157425,46884,9190,28490,244577,216087,1,0,463715.8894,50.45673077
1441401075,97290,69696,14815,423569,645738,222169,1,0,461987.524,31.18269231
1420050585,94200,179352,15074,3858312,4286290,427978,1,0,455144.4183,30.19230769
1413502365,62400,213846,22652,2493355,5826481,3333126,1,0,453045.6298,20
1362200460,108480,50783,12557,1775486,1983833,208347,1,0,436602.7115,34.76923077
1329626310,352665,157027,3770,646184,755006,108822,1,0,426162.2788,113.0336538
1326744930,123255,40472,10764,1658559,1739385,80826,1,1,425238.7596,39.50480769
1307893305,169785,90350,7703,1975564,2019426,43862,1,0,419196.5721,54.41826923
1307702820,91830,307528,14240,3523668,4172539,648871,1,0,419135.5192,29.43269231
1296579540,487500,9393,2659,149794,174372,24578,1,1,415570.3654,156.25
1291171080,38265,236385,33742,1560376,1820772,260396,1,0,413836.8846,12.26442308
1282015875,82080,177746,15619,3448391,3814716,366325,1,1,410902.524,26.30769231
1266167580,154935,22282,8172,447477,474833,27356,1,0,405822.9423,49.65865385
1235634450,85815,43424,14398,6608275,6716696,108421,1,0,396036.6827,27.50480769
1224334710,69225,300741,17686,736657,2370323,1633666,1,0,392414.9712,22.1875
1223205720,71970,202503,16996,9572831,11167868,1595037,1,0,392053.1154,23.06730769
1188178425,89565,26627,13266,920882,1207539,286657,1,0,380826.4183,28.70673077
1160237235,147495,60460,7866,833913,924396,90483,1,0,371870.9087,47.27403846
1157118585,83865,147761,13797,1735604,1910651,175047,1,1,370871.3413,26.87980769
1153815780,141105,29501,8177,1467335,1883510,416175,1,1,369812.75,45.22596154
1139513730,32520,162194,35040,1517111,2046111,529000,1,0,365228.7596,10.42307692
1134499710,108315,59146,10474,1161141,1261545,100404,1,0,363621.7019,34.71634615
1132080615,83745,122805,13518,2458561,2723546,264985,1,1,362846.351,26.84134615
1132014570,64815,92906,17465,394537,525444,130907,1,0,362825.1827,20.77403846
1112784555,94245,68467,11807,239060,349322,110262,1,0,356661.7163,30.20673077
1097012820,31920,217295,34367,3831703,4167483,335780,1,0,351606.6731,10.23076923
1074494205,244770,19671,4389,219305,236478,17173,1,0,344389.1683,78.45192308
1070420595,143970,22608,7434,2382594,2437634,55040,1,0,343083.524,46.14423077
1065509220,162105,38676,6572,187182,325814,138632,1,0,341509.3654,51.95673077
1051796040,156270,46542,6730,1256970,1707002,450032,1,0,337114.1154,50.08653846
1044304365,155520,102115,6714,1044989,1101904,56915,1,0,334712.9375,49.84615385
1038272565,53460,139259,19421,1528624,1611063,82439,1,0,332779.6683,17.13461538
1030991655,84915,158751,12141,1497037,1542441,45404,1,0,330446.0433,27.21634615
1023443325,91785,88886,11150,1267192,1851253,584061,1,0,328026.7067,29.41826923
1019957070,181935,25954,5606,953885,1148645,194760,1,0,326909.3173,58.3125
994994640,144360,43676,6892,963329,1120195,156866,1,0,318908.5385,46.26923077
981464055,163335,26902,6008,851881,991959,140078,1,0,314571.8125,52.35096154
974350365,70350,70524,13850,784172,1738590,954418,1,0,312291.7837,22.54807692
955888950,42135,130120,22686,1882740,1967479,84739,1,0,306374.6635,13.50480769
952015215,157920,158562,6028,1290198,1356326,66128,1,0,305133.0817,50.61538462
946678155,146385,32120,6467,1805704,2190680,384976,1,0,303422.4856,46.91826923
941517090,197670,16558,4763,655814,680133,24319,1,0,301768.2981,63.35576923
939065310,100995,71123,9298,366042,713416,347374,1,0,300982.4712,32.37019231
938437650,123660,105456,7588,442584,498227,55643,1,0,300781.2981,39.63461538
934324065,113160,126485,8256,557830,1419690,861860,1,0,299462.8413,36.26923077
933578190,151830,25201,6148,539697,603814,64117,1,0,299223.7788,48.66346154
928423605,71220,70388,13035,715240,1306097,590857,1,1,297571.6683,22.82692308
928198860,176430,20560,5261,521683,635551,113868,1,1,297499.6346,56.54807692
913404135,102300,49312,8928,1363931,1562435,198504,1,0,292757.7356,32.78846154
903161775,76575,74804,11794,373792,435846,62054,1,0,289474.9279,24.54326923
896545395,64995,56744,13794,579633,686990,107357,1,0,287354.2933,20.83173077
886814190,79035,35778,11220,327146,533781,206635,0,0,284235.3173,25.33173077
880342830,150960,52516,5831,249175,357123,107948,1,0,282161.1635,48.38461538
879870615,82980,57721,10603,1266682,2848215,1581533,1,0,282009.8125,26.59615385
878479410,66405,83333,13229,607657,792835,185178,1,1,281563.9135,21.28365385
862318200,18165,1340960,47471,4095096,4922515,827419,1,0,276384.0385,5.822115385
858558585,58680,61234,14631,1043314,1090980,47666,1,0,275179.0337,18.80769231
857520240,144375,20710,5939,347995,360247,12252,1,1,274846.2308,46.27403846
857428890,34425,103320,24907,322157,399892,77735,1,0,274816.9519,11.03365385
849791880,156105,48364,5443,1231827,1332223,100396,1,0,272369.1923,50.03365385
837064935,148935,23639,5620,3841166,3972401,131235,1,0,268290.0433,47.73557692
833715465,20700,153299,40276,1946426,2462474,516048,1,0,267216.4952,6.634615385
824864115,79095,27594,10428,497497,616820,119323,1,0,264379.524,25.35096154
819588285,172065,26272,4763,274753,868722,593969,0,0,262688.5529,55.14903846
817438395,70620,49249,11575,2419770,2792505,372735,1,1,261999.4856,22.63461538
802051665,7485,284592,107154,1131896,1227361,95465,1,0,257067.8413,2.399038462
795156000,81975,36401,9700,2087462,2707118,619656,1,1,254857.6923,26.27403846
793744215,141930,16641,5592,837399,841252,3853,1,0,254405.1971,45.49038462
787848870,208245,55491,3783,553443,686575,133132,1,0,252515.6635,66.74519231
787018245,417630,47341,1884,379280,697483,318203,1,0,252249.4375,133.8557692
786230820,92325,182838,8515,254296,324025,69729,1,0,251997.0577,29.59134615
783918105,98865,38151,7929,863847,1097291,233444,1,0,251255.8029,31.6875
781647960,156990,43617,4979,117363,436473,319110,1,0,250528.1923,50.31730769
780169305,175260,29313,4451,360739,381686,20947,1,0,250054.2644,56.17307692
780035115,80940,33855,9637,766913,1070279,303366,1,1,250011.2548,25.94230769
777711645,139605,47173,5570,2062211,2114338,52127,1,0,249266.5529,44.74519231
773870400,143790,69273,5382,2553793,2792146,238353,1,0,248035.3846,46.08653846
757715565,145335,58114,5213,734693,997763,263070,1,0,242857.5529,46.58173077
756495645,216270,32573,3498,265794,309855,44061,1,0,242466.5529,69.31730769
751566750,218655,10262,3437,193136,210309,17173,1,1,240886.7788,70.08173077
746754570,79575,71628,9384,635291,561364,-73927,1,0,239344.4135,25.50480769
745364235,524520,8546,1420,489005,548371,59366,1,1,238898.7933,168.1153846
743334585,161160,19168,4612,402820,591314,188494,1,0,238248.2644,51.65384615
735798930,29220,195874,25181,3409613,3874776,465163,1,0,235832.9904,9.365384615
735693885,25785,110428,28531,3872872,4597208,724336,1,1,235799.3221,8.264423077
734020275,56655,51453,12955,462820,600323,137503,1,0,235262.9087,18.15865385
730977345,38100,52786,19185,1258718,1458870,200152,1,0,234287.6106,12.21153846
729166005,85260,39989,8552,1600626,1757941,157315,1,0,233707.0529,27.32692308
722448210,67890,82734,10641,4754479,5272502,518023,1,0,231553.9135,21.75961538
719830245,89655,22669,8028,863064,914160,51096,1,0,230714.8221,28.73557692
715949235,100695,73783,7110,369239,873650,504411,1,0,229470.9087,32.27403846
711511800,432000,58471,1646,692234,712721,20487,1,0,228048.6538,138.4615385
706542000,62175,99397,11363,47530,186470,138940,1,0,226455.7692,19.92788462
703943955,166635,12041,4224,205324,256335,51011,1,0,225623.0625,53.40865385
702213750,63720,44293,11020,834559,1893983,1059424,1,0,225068.5096,20.42307692
694714335,72645,26058,9563,926773,1029591,102818,1,1,222664.851,23.28365385
693621705,133755,26733,5185,268494,290304,21810,1,0,222314.649,42.87019231
692479635,152220,99231,4549,606511,807128,200617,1,1,221948.601,48.78846154
690152580,93765,53044,7360,1072275,1821767,749492,1,0,221202.75,30.05288462
689625855,104025,36479,6629,604348,665449,61101,1,0,221033.9279,33.34134615
685960185,64125,77752,10697,939591,1198908,259317,1,0,219859.0337,20.55288462
685033995,202170,11090,3388,631091,644092,13001,1,1,219562.1779,64.79807692
682099680,72465,65681,9412,888824,1140108,251284,1,0,218621.6923,23.22596154
675897915,109440,31867,6175,4970717,5244606,273889,1,0,216633.9471,35.07692308
668698275,160830,16362,4157,403843,416224,12381,1,0,214326.3702,51.54807692
667841835,406560,75732,1642,18558,61840,43282,1,0,214051.8702,130.3076923
667733490,129150,33227,5170,359075,411427,52352,1,0,214017.1442,41.39423077
666179115,52290,200282,12740,1578173,1743138,164965,1,0,213518.9471,16.75961538
656049780,148395,17300,4421,318994,319613,619,1,1,210272.3654,47.5625
655979910,35505,148965,18475,227340,270217,42877,1,0,210249.9712,11.37980769
646351905,110130,19829,5869,1050818,1079991,29173,1,1,207164.0721,35.29807692
645547920,137850,51524,4682,413627,563717,150090,1,0,206906.3846,44.18269231
645428250,41310,45418,15624,1191918,1419227,227309,1,0,206868.0288,13.24038462
643119645,123000,35813,5228,392369,561644,169275,1,0,206128.0913,39.42307692
643007745,87375,35298,7359,805608,846737,41129,1,0,206092.226,28.00480769
637802115,510465,9593,1249,192174,201950,9776,1,0,204423.7548,163.6105769
636120825,140670,11349,4521,558346,630468,72122,1,0,203884.8798,45.08653846
635771040,146400,19912,4342,262796,321693,58897,1,1,203772.7692,46.92307692
634713210,179115,36153,3543,270164,842043,571879,1,0,203433.7212,57.40865385
632748780,47220,102533,13400,15805,259424,243619,1,0,202804.0962,15.13461538
631607415,58815,623590,10738,1409360,3225005,1815645,1,0,202438.274,18.85096154
629825145,117000,33581,5383,731524,806253,74729,1,0,201867.0337,37.5
628063995,190425,31265,3298,101674,241952,140278,1,0,201302.5625,61.03365385
626510460,96210,64293,6511,655468,766237,110769,1,0,200804.6346,30.83653846
625730835,53910,57113,11607,902427,1010775,108348,1,0,200554.7548,17.27884615
625476645,108630,24365,5757,156510,243811,87301,1,0,200473.2837,34.81730769
624570465,524640,2836,1190,106154,121958,15804,1,0,200182.8413,168.1538462
622765680,142140,33185,4381,295760,367443,71683,1,0,199604.3846,45.55769231
621356475,43860,285246,14166,293309,476199,182890,1,0,199152.7163,14.05769231
619333605,117045,19997,5291,797857,797481,-376,1,0,198504.3606,37.51442308
616942590,109380,40734,5640,297490,511770,214280,1,0,197738.0096,35.05769231
616540455,172500,50610,3574,242091,293392,51301,1,0,197609.1202,55.28846154
611702235,261255,9917,2341,377321,396556,19235,1,1,196058.4087,83.73557692
609092085,88395,44008,6890,840041,1050708,210667,1,0,195221.8221,28.33173077
605935740,125040,10779,4846,1158938,1210826,51888,1,0,194210.1731,40.07692308
454347990,136740,13769,3322,145665,306879,161214,1,0,145624.3558,43.82692308
453855840,200925,14382,2258,287537,342761,55224,1,1,145466.6154,64.39903846
451777275,42825,32563,10549,940136,890092,-50044,0,0,144800.4087,13.72596154
449404035,29190,41392,15395,1214903,1425303,210400,1,1,144039.7548,9.355769231
448988370,118560,27659,3787,297642,486966,189324,1,0,143906.5288,38
448275525,124620,20003,3597,638110,687048,48938,1,1,143678.0529,39.94230769
448153965,112020,27035,4000,330771,357364,26593,0,0,143639.0913,35.90384615
447464130,163770,20711,2732,152045,248463,96418,1,1,143417.9904,52.49038462
445912680,121545,25899,3668,206694,758478,551784,1,0,142920.7308,38.95673077
445046565,78315,55386,5682,242065,401042,158977,1,0,142643.1298,25.10096154
443950365,156330,29232,2839,207100,338948,131848,1,0,142291.7837,50.10576923
443022450,12795,145106,34624,942155,1166948,224793,1,0,141994.375,4.100961538
442329630,85245,26874,5189,723567,790644,67077,1,1,141772.3173,27.32211538
442098270,194490,12799,2273,426650,530636,103986,1,0,141698.1635,62.33653846
442056450,142755,16185,3096,472209,538408,66199,1,0,141684.7596,45.75480769
440870025,63030,31272,6994,222083,307100,85017,1,0,141304.4952,20.20192308
440285520,75750,23133,5812,370283,463825,93542,1,0,141117.1538,24.27884615
439395765,179835,23406,2443,278259,321352,43093,1,0,140831.976,57.63942308
439043880,109635,12276,4004,266332,325283,58951,1,1,140719.1923,35.13942308
437545800,126465,23358,3459,402406,618568,216162,1,0,140239.0385,40.53365385
436662240,216765,10034,2014,147609,157749,10140,1,0,139955.8462,69.47596154
436617060,298890,6620,1460,255468,284953,29485,1,0,139941.3654,95.79807692
433834260,146460,24874,2962,377081,425755,48674,1,0,139049.4423,46.94230769
428664675,209880,13669,2042,233513,289864,56351,1,0,137392.524,67.26923077
427989285,104355,18028,4101,577966,928181,350215,1,0,137176.0529,33.44711538
427205520,103650,28912,4121,825322,928670,103348,1,0,136924.8462,33.22115385
427155855,68460,33020,6239,65081,241971,176890,0,0,136908.9279,21.94230769
426779340,82590,21039,5167,186541,272650,86109,1,0,136788.25,26.47115385
425405010,97140,22337,4379,1120881,1326994,206113,1,1,136347.7596,31.13461538
423927165,129930,19255,3262,258160,273221,15061,1,0,135874.0913,41.64423077
423469935,129675,11467,3265,1217571,1246689,29118,1,0,135727.5433,41.5625
423015150,124320,29224,3402,1520842,1602309,81467,1,0,135581.7788,39.84615385
421387410,150750,22856,2795,274341,287778,13437,1,0,135060.0673,48.31730769
421262925,128325,10464,3282,363093,405025,41932,1,0,135020.1683,41.12980769
420874380,75555,18601,5570,854046,869694,15648,1,0,134895.6346,24.21634615
419288835,95730,16047,4380,664796,772214,107418,1,0,134387.4471,30.68269231
418079535,51270,60549,8154,329534,451983,122449,1,0,133999.851,16.43269231
417675060,99075,23316,4215,644517,668495,23978,1,0,133870.2115,31.75480769
417339150,179850,31434,2320,174488,233600,59112,0,0,133762.5481,57.64423077
411789705,56385,19015,7303,211350,664396,453046,1,0,131983.8798,18.07211538
411262335,38595,42047,10655,1567675,1903706,336031,1,0,131814.851,12.37019231
410796030,139725,17664,2940,506439,541912,35473,1,1,131665.3942,44.78365385
410259210,30180,112504,13593,1195089,1222562,27473,1,0,131493.3365,9.673076923
408717240,60075,60540,6803,4779497,5758170,978673,1,0,130999.1154,19.25480769
408431310,91065,43030,4485,1642296,1807635,165339,1,0,130907.4712,29.1875
408372780,76635,37253,5328,42665,297706,255041,1,0,130888.7115,24.5625
408255765,183480,13757,2225,348274,430786,82512,1,0,130851.2067,58.80769231
405573930,101325,20390,4002,401360,476836,75476,1,0,129991.6442,32.47596154
404155185,118200,13278,3419,1112412,1153199,40787,1,0,129536.9183,37.88461538
402912600,138810,22035,2902,636018,705557,69539,1,0,129138.6538,44.49038462
401564895,205470,6726,1954,368035,398812,30777,1,1,128706.6971,65.85576923
401509770,186330,30002,2154,298529,395835,97306,1,0,128689.0288,59.72115385
401135640,151770,14304,2643,1105154,1184231,79077,1,0,128569.1154,48.64423077
401016000,66645,34008,6017,340757,475533,134776,1,1,128530.7692,21.36057692
400834260,83940,14080,4775,1255926,1307698,51772,1,0,128472.5192,26.90384615
400729560,200010,10048,2003,1763116,1759700,-3416,1,0,128438.9615,64.10576923
400043985,121035,9841,3305,58325,69164,10839,1,1,128219.226,38.79326923
398733300,470925,57475,846,598915,644449,45534,1,0,127799.1346,150.9375
398618265,97965,42292,4068,2408455,2673988,265533,1,0,127762.2644,31.39903846
397997565,115305,20106,3451,81908,164960,83052,1,0,127563.3221,36.95673077
397867065,70605,30445,5635,324770,761055,436285,1,0,127521.4952,22.62980769
397820610,94560,12264,4207,317055,337946,20891,1,0,127506.6058,30.30769231
397704915,13695,290841,29040,2895364,3488452,593088,1,0,127469.524,4.389423077
397535220,185145,40518,2147,505701,824833,319132,1,0,127415.1346,59.34134615
395460000,44445,23634,8897,740985,736098,-4887,1,1,126750,14.24519231
395363760,36210,81405,10918,605763,671399,65636,1,0,126719.1538,11.60576923
395323605,123270,14801,3207,1248745,1283193,34448,1,0,126706.2837,39.50961538
394971285,120630,26866,3274,897609,990836,93227,1,0,126593.3606,38.66346154
393339165,20385,152938,19295,5818747,6716787,898040,1,0,126070.2452,6.533653846
393126735,135135,13949,2909,427287,464281,36994,1,0,126002.1587,43.3125
391939125,132285,9490,2962,409318,424389,15071,1,1,125621.5144,42.39903846
390969690,54300,38423,7200,920236,1056275,136039,1,0,125310.7981,17.40384615
388974930,96555,14329,4028,430863,550882,120019,1,0,124671.4519,30.94711538
388881105,107910,22528,3603,44580,241197,196617,0,0,124641.3798,34.58653846
388853415,192345,42224,2021,255234,315319,60085,1,0,124632.5048,61.64903846
388456725,153120,15552,2536,107838,159958,52120,1,0,124505.3606,49.07692308
388203675,125985,9438,3081,444011,474154,30143,1,0,124424.2548,40.37980769
388082325,96360,37601,4027,1401991,1718984,316993,1,0,124385.3606,30.88461538
387254835,115365,25263,3356,307304,341695,34391,1,1,124120.1394,36.97596154
387128160,88515,23641,4373,788737,964747,176010,1,0,124079.5385,28.37019231
386803230,104865,36282,3688,406109,479815,73706,1,1,123975.3942,33.61057692
385701675,41790,23373,9229,869871,959884,90013,1,0,123622.3317,13.39423077
385450710,91995,26197,4189,648115,848915,200800,1,0,123541.8942,29.48557692
384973380,93810,8912,4103,633558,641134,7576,1,0,123388.9038,30.06730769
383809890,41670,25704,9210,370143,460896,90753,1,0,123015.9904,13.35576923
383629140,131865,13742,2909,619445,695857,76412,1,0,122958.0577,42.26442308
382508670,95040,9797,4024,426012,509141,83129,1,0,122598.9327,30.46153846
381798870,520395,4416,733,779282,995187,215905,1,0,122371.4327,166.7932692
381596115,102885,10267,3708,342936,379564,36628,1,0,122306.4471,32.97596154
381219465,211770,34904,1800,106502,156256,49754,1,0,122185.726,67.875
381134970,133455,9185,2855,93524,107008,13484,1,0,122158.6442,42.77403846
