Peak viewers,Average viewers,Followers,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours
348593,61993,9043160,1,0,2217170.928,35.76442308
253831,12704,4061076,1,1,2122451.221,167.0625
3442745,75485,15430621,1,0,2007636.423,26.59615385
126238,51364,11981015,1,0,1839991.668,35.82211538
125341,23673,1367770,1,0,1607503.534,67.90384615
1098636,132356,3043007,1,0,1541189.327,11.64423077
215660,31247,2967235,1,0,1409606.894,45.11057692
82098,25657,2562946,1,0,1233787.101,48.08653846
152249,23756,1789303,1,0,1218776.014,51.30288462
151594,38024,3998038,1,0,1197760.51,31.5
166223,19011,656754,1,0,1094880.832,57.59134615
205471,30094,5064402,1,0,1066904.726,35.45192308
48921,13812,6250676,1,0,1032117.904,74.72115385
266793,61506,2805389,1,0,979068.9087,15.91826923
295493,6250,6272711,1,0,974286.8606,155.8605769
105954,21467,890549,1,0,962706.1587,44.84615385
207866,20321,1714324,0,0,951403.3077,46.81730769
120011,17636,2159527,1,0,915162.4375,51.88942308
360947,52069,16137856,1,0,898957.2837,17.26442308
215165,21811,3304282,1,1,896915.9423,41.12019231
166788,5493,711679,1,0,896654.6827,163.2259615
127557,17733,1600214,1,0,853064.9087,48.10576923
102970,17246,4615150,1,0,753640.4038,43.69711538
156716,16279,10760732,1,0,753087.7933,46.25961538
65775,18552,1044291,1,0,745330.774,40.17307692
48646,12188,661198,1,0,734141.7356,60.23076923
272205,36691,760715,1,1,729774.6587,19.88942308
30882,15267,563099,1,0,715969.9423,46.89423077
403954,45633,9064326,1,0,709077.3125,15.53846154
56762,17629,2961886,1,0,708300.9423,40.17788462
357257,24603,14848698,1,0,693645.0481,28.19230769
440432,41180,1899354,1,0,665623.7644,16.16346154
35130,12378,617352,1,0,661563.8846,53.44230769
137733,16971,1834264,1,0,661071.8942,38.95192308
53894,11272,822139,1,0,639055.1875,56.69230769
154553,17839,966219,1,1,610233.1683,34.20673077
824255,52926,6855524,1,0,592875.6106,11.20192308
236159,14710,1122289,1,0,581350.6827,39.51923077
211881,37668,2036848,1,0,580964.8413,15.42307692
159115,32612,9350442,1,0,577462.5433,17.70673077
48808,11685,709180,1,0,575789.2067,49.27403846
94536,15327,3871436,1,0,573805.4279,37.4375
76716,17001,6947972,1,0,572636.9712,33.68269231
1745462,20728,11878408,1,0,565964.4519,27.30288462
47393,15522,1428305,1,0,565751,36.44711538
114565,11898,736484,1,0,554316.0481,46.58653846
66491,17565,1041131,1,0,549783.5673,31.29807692
74903,13406,3518844,1,0,548617.9279,40.92307692
180846,22624,1709416,1,0,545600.2788,24.11538462
93182,14458,725915,1,1,536578.6587,37.11057692
176972,19864,1657511,1,0,530126.5817,26.6875
165048,10029,1214015,1,0,523905.5577,52.23557692
100121,15313,8886559,1,1,521404.4615,34.04807692
37112,10536,1234034,1,0,512631.5865,48.65384615
38741,8865,1454832,1,0,512535.8317,57.8125
52943,16381,5296635,1,0,510988.3798,31.19230769
260463,16442,235527,1,0,508930.601,30.95192308
28517,13705,1178638,1,1,507106.5481,37
202216,23875,5273464,1,1,493240.0433,20.65865385
70985,9498,1564050,1,0,486922.3365,51.26442308
129457,13563,7173148,1,0,484376.6779,35.71153846
185921,14479,677284,1,0,481783.2452,33.27403846
102021,31334,816390,1,0,477847.2788,15.25
82463,19788,1650107,1,1,477210.9952,24.11538462
75678,21187,2074909,1,0,464797.5192,21.9375
46884,9190,244577,1,0,463715.8894,50.45673077
69696,14815,645738,1,0,461987.524,31.18269231
179352,15074,4286290,1,0,455144.4183,30.19230769
213846,22652,5826481,1,0,453045.6298,20
50783,12557,1983833,1,0,436602.7115,34.76923077
157027,3770,755006,1,0,426162.2788,113.0336538
40472,10764,1739385,1,1,425238.7596,39.50480769
90350,7703,2019426,1,0,419196.5721,54.41826923
307528,14240,4172539,1,0,419135.5192,29.43269231
9393,2659,174372,1,1,415570.3654,156.25
236385,33742,1820772,1,0,413836.8846,12.26442308
177746,15619,3814716,1,1,410902.524,26.30769231
22282,8172,474833,1,0,405822.9423,49.65865385
43424,14398,6716696,1,0,396036.6827,27.50480769
300741,17686,2370323,1,0,392414.9712,22.1875
202503,16996,11167868,1,0,392053.1154,23.06730769
26627,13266,1207539,1,0,380826.4183,28.70673077
60460,7866,924396,1,0,371870.9087,47.27403846
147761,13797,1910651,1,1,370871.3413,26.87980769
29501,8177,1883510,1,1,369812.75,45.22596154
162194,35040,2046111,1,0,365228.7596,10.42307692
59146,10474,1261545,1,0,363621.7019,34.71634615
122805,13518,2723546,1,1,362846.351,26.84134615
92906,17465,525444,1,0,362825.1827,20.77403846
68467,11807,349322,1,0,356661.7163,30.20673077
217295,34367,4167483,1,0,351606.6731,10.23076923
19671,4389,236478,1,0,344389.1683,78.45192308
22608,7434,2437634,1,0,343083.524,46.14423077
38676,6572,325814,1,0,341509.3654,51.95673077
46542,6730,1707002,1,0,337114.1154,50.08653846
102115,6714,1101904,1,0,334712.9375,49.84615385
139259,19421,1611063,1,0,332779.6683,17.13461538
158751,12141,1542441,1,0,330446.0433,27.21634615
88886,11150,1851253,1,0,328026.7067,29.41826923
25954,5606,1148645,1,0,326909.3173,58.3125
43676,6892,1120195,1,0,318908.5385,46.26923077
26902,6008,991959,1,0,314571.8125,52.35096154
70524,13850,1738590,1,0,312291.7837,22.54807692
130120,22686,1967479,1,0,306374.6635,13.50480769
158562,6028,1356326,1,0,305133.0817,50.61538462
32120,6467,2190680,1,0,303422.4856,46.91826923
16558,4763,680133,1,0,301768.2981,63.35576923
71123,9298,713416,1,0,300982.4712,32.37019231
105456,7588,498227,1,0,300781.2981,39.63461538
126485,8256,1419690,1,0,299462.8413,36.26923077
25201,6148,603814,1,0,299223.7788,48.66346154
70388,13035,1306097,1,1,297571.6683,22.82692308
20560,5261,635551,1,1,297499.6346,56.54807692
49312,8928,1562435,1,0,292757.7356,32.78846154
74804,11794,435846,1,0,289474.9279,24.54326923
56744,13794,686990,1,0,287354.2933,20.83173077
35778,11220,533781,0,0,284235.3173,25.33173077
52516,5831,357123,1,0,282161.1635,48.38461538
57721,10603,2848215,1,0,282009.8125,26.59615385
83333,13229,792835,1,1,281563.9135,21.28365385
1340960,47471,4922515,1,0,276384.0385,5.822115385
61234,14631,1090980,1,0,275179.0337,18.80769231
20710,5939,360247,1,1,274846.2308,46.27403846
103320,24907,399892,1,0,274816.9519,11.03365385
48364,5443,1332223,1,0,272369.1923,50.03365385
23639,5620,3972401,1,0,268290.0433,47.73557692
153299,40276,2462474,1,0,267216.4952,6.634615385
27594,10428,616820,1,0,264379.524,25.35096154
26272,4763,868722,0,0,262688.5529,55.14903846
49249,11575,2792505,1,1,261999.4856,22.63461538
284592,107154,1227361,1,0,257067.8413,2.399038462
36401,9700,2707118,1,1,254857.6923,26.27403846
16641,5592,841252,1,0,254405.1971,45.49038462
55491,3783,686575,1,0,252515.6635,66.74519231
47341,1884,697483,1,0,252249.4375,133.8557692
182838,8515,324025,1,0,251997.0577,29.59134615
38151,7929,1097291,1,0,251255.8029,31.6875
43617,4979,436473,1,0,250528.1923,50.31730769
29313,4451,381686,1,0,250054.2644,56.17307692
33855,9637,1070279,1,1,250011.2548,25.94230769
47173,5570,2114338,1,0,249266.5529,44.74519231
69273,5382,2792146,1,0,248035.3846,46.08653846
58114,5213,997763,1,0,242857.5529,46.58173077
32573,3498,309855,1,0,242466.5529,69.31730769
10262,3437,210309,1,1,240886.7788,70.08173077
71628,9384,561364,1,0,239344.4135,25.50480769
8546,1420,548371,1,1,238898.7933,168.1153846
19168,4612,591314,1,0,238248.2644,51.65384615
195874,25181,3874776,1,0,235832.9904,9.365384615
110428,28531,4597208,1,1,235799.3221,8.264423077
51453,12955,600323,1,0,235262.9087,18.15865385
52786,19185,1458870,1,0,234287.6106,12.21153846
39989,8552,1757941,1,0,233707.0529,27.32692308
82734,10641,5272502,1,0,231553.9135,21.75961538
22669,8028,914160,1,0,230714.8221,28.73557692
73783,7110,873650,1,0,229470.9087,32.27403846
58471,1646,712721,1,0,228048.6538,138.4615385
99397,11363,186470,1,0,226455.7692,19.92788462
12041,4224,256335,1,0,225623.0625,53.40865385
44293,11020,1893983,1,0,225068.5096,20.42307692
26058,9563,1029591,1,1,222664.851,23.28365385
26733,5185,290304,1,0,222314.649,42.87019231
99231,4549,807128,1,1,221948.601,48.78846154
53044,7360,1821767,1,0,221202.75,30.05288462
36479,6629,665449,1,0,221033.9279,33.34134615
77752,10697,1198908,1,0,219859.0337,20.55288462
11090,3388,644092,1,1,219562.1779,64.79807692
65681,9412,1140108,1,0,218621.6923,23.22596154
31867,6175,5244606,1,0,216633.9471,35.07692308
16362,4157,416224,1,0,214326.3702,51.54807692
75732,1642,61840,1,0,214051.8702,130.3076923
33227,5170,411427,1,0,214017.1442,41.39423077
200282,12740,1743138,1,0,213518.9471,16.75961538
17300,4421,319613,1,1,210272.3654,47.5625
148965,18475,270217,1,0,210249.9712,11.37980769
19829,5869,1079991,1,1,207164.0721,35.29807692
51524,4682,563717,1,0,206906.3846,44.18269231
45418,15624,1419227,1,0,206868.0288,13.24038462
35813,5228,561644,1,0,206128.0913,39.42307692
35298,7359,846737,1,0,206092.226,28.00480769
9593,1249,201950,1,0,204423.7548,163.6105769
11349,4521,630468,1,0,203884.8798,45.08653846
19912,4342,321693,1,1,203772.7692,46.92307692
36153,3543,842043,1,0,203433.7212,57.40865385
102533,13400,259424,1,0,202804.0962,15.13461538
623590,10738,3225005,1,0,202438.274,18.85096154
33581,5383,806253,1,0,201867.0337,37.5
31265,3298,241952,1,0,201302.5625,61.03365385
64293,6511,766237,1,0,200804.6346,30.83653846
57113,11607,1010775,1,0,200554.7548,17.27884615
24365,5757,243811,1,0,200473.2837,34.81730769
2836,1190,121958,1,0,200182.8413,168.1538462
33185,4381,367443,1,0,199604.3846,45.55769231
285246,14166,476199,1,0,199152.7163,14.05769231
19997,5291,797481,1,0,198504.3606,37.51442308
40734,5640,511770,1,0,197738.0096,35.05769231
50610,3574,293392,1,0,197609.1202,55.28846154
9917,2341,396556,1,1,196058.4087,83.73557692
44008,6890,1050708,1,0,195221.8221,28.33173077
10779,4846,1210826,1,0,194210.1731,40.07692308
13769,3322,306879,1,0,145624.3558,43.82692308
14382,2258,342761,1,1,145466.6154,64.39903846
32563,10549,890092,0,0,144800.4087,13.72596154
41392,15395,1425303,1,1,144039.7548,9.355769231
27659,3787,486966,1,0,143906.5288,38
20003,3597,687048,1,1,143678.0529,39.94230769
27035,4000,357364,0,0,143639.0913,35.90384615
20711,2732,248463,1,1,143417.9904,52.49038462
25899,3668,758478,1,0,142920.7308,38.95673077
55386,5682,401042,1,0,142643.1298,25.10096154
29232,2839,338948,1,0,142291.7837,50.10576923
145106,34624,1166948,1,0,141994.375,4.100961538
26874,5189,790644,1,1,141772.3173,27.32211538
12799,2273,530636,1,0,141698.1635,62.33653846
16185,3096,538408,1,0,141684.7596,45.75480769
31272,6994,307100,1,0,141304.4952,20.20192308
23133,5812,463825,1,0,141117.1538,24.27884615
23406,2443,321352,1,0,140831.976,57.63942308
12276,4004,325283,1,1,140719.1923,35.13942308
23358,3459,618568,1,0,140239.0385,40.53365385
10034,2014,157749,1,0,139955.8462,69.47596154
6620,1460,284953,1,0,139941.3654,95.79807692
24874,2962,425755,1,0,139049.4423,46.94230769
13669,2042,289864,1,0,137392.524,67.26923077
18028,4101,928181,1,0,137176.0529,33.44711538
28912,4121,928670,1,0,136924.8462,33.22115385
33020,6239,241971,0,0,136908.9279,21.94230769
21039,5167,272650,1,0,136788.25,26.47115385
22337,4379,1326994,1,1,136347.7596,31.13461538
19255,3262,273221,1,0,135874.0913,41.64423077
11467,3265,1246689,1,0,135727.5433,41.5625
29224,3402,1602309,1,0,135581.7788,39.84615385
22856,2795,287778,1,0,135060.0673,48.31730769
10464,3282,405025,1,0,135020.1683,41.12980769
18601,5570,869694,1,0,134895.6346,24.21634615
16047,4380,772214,1,0,134387.4471,30.68269231
60549,8154,451983,1,0,133999.851,16.43269231
23316,4215,668495,1,0,133870.2115,31.75480769
31434,2320,233600,0,0,133762.5481,57.64423077
19015,7303,664396,1,0,131983.8798,18.07211538
42047,10655,1903706,1,0,131814.851,12.37019231
17664,2940,541912,1,1,131665.3942,44.78365385
112504,13593,1222562,1,0,131493.3365,9.673076923
60540,6803,5758170,1,0,130999.1154,19.25480769
43030,4485,1807635,1,0,130907.4712,29.1875
37253,5328,297706,1,0,130888.7115,24.5625
13757,2225,430786,1,0,130851.2067,58.80769231
20390,4002,476836,1,0,129991.6442,32.47596154
13278,3419,1153199,1,0,129536.9183,37.88461538
22035,2902,705557,1,0,129138.6538,44.49038462
6726,1954,398812,1,1,128706.6971,65.85576923
30002,2154,395835,1,0,128689.0288,59.72115385
14304,2643,1184231,1,0,128569.1154,48.64423077
34008,6017,475533,1,1,128530.7692,21.36057692
14080,4775,1307698,1,0,128472.5192,26.90384615
10048,2003,1759700,1,0,128438.9615,64.10576923
9841,3305,69164,1,1,128219.226,38.79326923
57475,846,644449,1,0,127799.1346,150.9375
42292,4068,2673988,1,0,127762.2644,31.39903846
20106,3451,164960,1,0,127563.3221,36.95673077
30445,5635,761055,1,0,127521.4952,22.62980769
12264,4207,337946,1,0,127506.6058,30.30769231
290841,29040,3488452,1,0,127469.524,4.389423077
40518,2147,824833,1,0,127415.1346,59.34134615
23634,8897,736098,1,1,126750,14.24519231
81405,10918,671399,1,0,126719.1538,11.60576923
14801,3207,1283193,1,0,126706.2837,39.50961538
26866,3274,990836,1,0,126593.3606,38.66346154
152938,19295,6716787,1,0,126070.2452,6.533653846
13949,2909,464281,1,0,126002.1587,43.3125
9490,2962,424389,1,1,125621.5144,42.39903846
38423,7200,1056275,1,0,125310.7981,17.40384615
14329,4028,550882,1,0,124671.4519,30.94711538
22528,3603,241197,0,0,124641.3798,34.58653846
42224,2021,315319,1,0,124632.5048,61.64903846
15552,2536,159958,1,0,124505.3606,49.07692308
9438,3081,474154,1,0,124424.2548,40.37980769
37601,4027,1718984,1,0,124385.3606,30.88461538
25263,3356,341695,1,1,124120.1394,36.97596154
23641,4373,964747,1,0,124079.5385,28.37019231
36282,3688,479815,1,1,123975.3942,33.61057692
23373,9229,959884,1,0,123622.3317,13.39423077
26197,4189,848915,1,0,123541.8942,29.48557692
8912,4103,641134,1,0,123388.9038,30.06730769
25704,9210,460896,1,0,123015.9904,13.35576923
13742,2909,695857,1,0,122958.0577,42.26442308
9797,4024,509141,1,0,122598.9327,30.46153846
4416,733,995187,1,0,122371.4327,166.7932692
10267,3708,379564,1,0,122306.4471,32.97596154
34904,1800,156256,1,0,122185.726,67.875
9185,2855,107008,1,0,122158.6442,42.77403846
66641,5685,790284,0,0,121996.125,21.45673077
15273,2668,485059,1,0,121787.5,45.64903846
9853,3210,287510,1,0,121571.024,37.86057692
12743,4299,183331,1,0,121393.9327,28.23557692
33851,3973,220010,1,0,121112.1731,30.48076923
20975,728,332851,1,1,120499.2837,165.4375
46921,2774,852975,1,1,120068.5048,43.27884615
13339,3763,848569,1,0,119915.5385,31.86057692
12332,3189,448879,1,1,119624.399,37.50961538
115239,4132,1926437,1,0,119252.75,28.86057692
56270,3949,6820649,1,0,119033.5337,30.13942308
14342,2360,286384,1,0,118960.1106,50.39903846
19399,3190,347045,1,0,118932.5433,37.28365385
36480,5343,787858,1,1,118447.7548,22.16826923
26377,3841,346868,1,0,118123.0817,30.75
25525,3484,800225,1,0,118099.6394,33.89423077
20885,3414,901036,1,1,117651.3269,34.46153846
25728,8839,1221814,1,1,117633.9423,13.30769231
15919,6041,406174,1,0,117320.0817,19.41826923
9890,4098,197630,1,1,117064.9615,28.5625
5634,1689,168006,1,1,116673.7692,69.07211538
11252,2507,369809,1,0,116422.125,46.42788462
63129,11067,3725373,1,0,116099.5288,10.49038462
5583,1932,170043,1,0,115786.1394,59.91346154
6787,2367,891054,1,0,115724.0673,48.88942308
71042,8223,453673,1,0,115677.4471,14.06730769
9037,3027,149697,1,1,115492.7596,38.14423077
19774,3489,798784,1,0,115415.2644,33.07692308
20964,4992,1323287,1,1,115350.0144,23.10576923
24754,3511,239695,1,0,115281.8029,32.83173077
20675,4578,252466,1,0,114754.774,25.0625
15590,1901,210539,1,0,114706.6971,60.33653846
56541,7483,3874875,1,0,114518.0433,15.30288462
45771,4399,482368,1,1,114082.5,25.93269231
10894,3296,129299,1,0,113866.0048,34.53846154
19010,5258,1617853,1,1,113839.0337,21.64903846
18743,2076,148300,1,0,113615.2788,54.70673077
72818,5290,253957,1,0,113421.3462,21.4375
2369,694,110015,1,0,112739.7596,162.2451923
26186,1771,92699,1,0,112336.101,63.40865385
25509,6367,731875,1,0,112313.5817,17.63942308
38667,3038,244791,1,0,112167.7212,36.92307692
7370,1622,108374,1,0,111865.2356,68.96634615
108995,3649,1674126,1,0,111715.5192,30.61057692
124035,3831,3867295,1,1,111495.5096,29.09615385
102377,6567,464928,1,0,111137.1106,16.92307692
8921,2341,106990,1,1,110966.4423,47.39423077
29470,2829,237152,1,0,110426.8606,39.02403846
12005,3021,166017,1,0,110165.5048,36.46634615
12848,4041,284184,1,0,110142.5144,27.25480769
9402,2555,160427,1,0,110102.9856,43.07692308
34869,2660,341028,1,1,109993.7356,41.34134615
15327,4353,911324,1,0,109819.0577,25.22596154
53526,4739,1067215,1,0,109254.9423,23.05288462
77642,754,424418,1,0,109069.2788,144.5961538
40023,3537,625896,1,1,108963.7548,30.80769231
153559,53660,687961,1,0,108868.9231,2.028846154
15954,4305,888453,1,0,108803.5481,25.26923077
23564,6369,379062,1,0,108769.3125,17.07692308
26082,3303,334492,1,1,108305.9712,32.78846154
7130,2120,855977,1,0,108255.6202,51.0625
15593,3724,672819,1,0,108176.1587,29.04807692
51689,2765,160571,1,0,108161.649,39.11057692
11324,2959,833220,1,0,107917.7596,36.46634615
158444,10644,4460643,1,0,107878.8029,10.13461538
38435,8193,1334556,1,0,107859.6923,13.16346154
33588,1753,219148,1,1,107754.774,61.4375
142233,21030,1306561,1,0,107679.3654,5.120192308
25687,5204,485514,1,0,107442.7885,20.64423077
6193,1920,369600,0,1,107409.1442,55.92307692
5273,1223,42012,1,0,107198.399,87.63461538
17185,2070,134606,1,1,107157.25,51.76442308
1624,647,571049,1,0,106789.1971,165.0769231
29282,5422,418407,1,0,106379.9712,19.62019231
35530,9085,9332986,1,0,106236.9038,11.69230769
12762,5540,421990,1,0,106021.2548,19.13461538
19622,4080,316820,1,0,105956.0288,25.96634615
7421,1849,116105,1,0,105822.4567,57.22115385
22365,5440,1025736,1,0,105172.2933,19.33173077
9665,3104,341019,1,0,104911.0481,33.79326923
12395,1901,197999,1,0,104864.399,55.13461538
60684,3219,384684,1,0,104587.3558,32.48557692
45093,4087,1856435,1,0,104436.4423,25.55288462
16154,3681,793652,1,0,104206.8317,28.30288462
19442,5744,273689,1,0,104084.6058,18.12019231
18136,1598,1051557,1,1,103853.6635,64.96153846
65012,9038,271630,1,0,103681.4856,11.47115385
8073,2780,351155,1,1,103592.5144,37.25961538
6629,1799,146403,1,1,102895.8413,57.17307692
15288,4144,775787,1,1,102876.4183,24.82211538
65954,11813,628779,1,0,102859.9952,8.706730769
45315,10109,1718281,1,1,102790.375,10.16826923
16456,5485,419937,1,0,102658.4808,18.71634615
31766,5702,595949,1,1,102510.9183,17.97596154
38127,10687,2045004,1,0,102451.125,9.586538462
42915,3718,624563,1,0,102094.8125,27.45673077
8027,2111,180379,1,1,102068.1298,48.35096154
18241,2242,439356,1,0,102040.8221,45.49519231
21989,2312,139196,1,0,101988.4808,44.10576923
14717,1714,563266,1,0,101966.2933,59.47596154
11846,606,163338,1,0,101936.524,168.1730769
5488,2385,164037,1,0,101843.8077,42.6875
76912,3465,483681,1,0,101523.5817,29.29807692
690360,2564,1864594,1,0,101481.2788,39.5625
12840,1896,2581025,1,0,101431.5625,53.47596154
15451,2801,335734,1,0,101172.6827,36.11057692
20075,1774,266777,1,0,100796.7885,56.82211538
354755,6939,1017866,1,0,100652.6971,14.50480769
46723,8611,301635,1,0,100642.2404,11.6875
3285,602,106459,1,0,100533.9952,166.8653846
17144,2829,698191,1,0,100496.2452,35.51442308
34590,2219,960000,1,0,100051.0817,45.08173077
11221,2228,328865,1,0,99938.40385,44.84615385
16262,634,2217299,1,0,99906.36538,157.4519231
38290,2480,413123,1,0,99604.33654,40.15865385
17229,5947,188330,1,0,99424.57692,16.71634615
15642,2801,639523,1,0,99410.33173,35.49038462
66410,1834,373188,1,1,99099.86058,54.00961538
3619,970,18437,1,0,98614.86538,101.6490385
4522,1007,267160,1,1,98595.30769,97.83173077
15015,1916,217700,1,0,98565.05769,51.44230769
30437,3257,171721,1,1,98486.07212,30.23076923
16453,2627,220172,1,0,98101.83654,37.33653846
15482,3707,428376,1,1,97986.12981,26.42788462
29211,2082,1780635,1,0,97689.12019,46.90865385
17798,1887,736250,1,0,96554.27404,51.15865385
16654,5563,447095,1,0,96505.96154,17.34615385
409724,5533,583166,1,1,95723.66346,17.29807692
13724,569,92883,1,0,95692.58654,168.0528846
15231,2666,366212,1,0,95290.54327,35.73076923
15990,1566,238278,1,0,95214.84135,60.76923077
8157,1961,397941,1,0,95194.65865,48.54326923
66714,3151,990561,1,0,95147.35096,30.19230769
8944,1651,413220,1,0,94924.32212,57.47115385
11210,1742,320987,1,1,94725.41346,54.37019231
58197,25352,25670,0,0,94704.09615,3.735576923
21755,2894,333704,1,0,94573.69231,32.67788462
16471,3035,713045,1,0,94509.81731,31.13461538
18259,3453,531095,1,1,94161.78846,27.26442308
13925,1766,238578,1,1,94039.44231,53.24038462
20684,1247,2098115,1,0,93886.86058,75.26442308
19051,5156,753682,1,1,93662.70673,18.16346154
5298,1442,405497,1,1,93598.38462,64.88461538
13222,2380,320177,1,0,93586.90385,39.32211538
33345,3792,1050653,1,0,93363.87019,24.62019231
16356,3518,658806,1,0,93256.13462,26.50480769
13193,2780,129661,1,0,93081.14423,33.47596154
4253,1321,96908,1,0,92946.07212,70.34615385
20278,5449,502098,0,0,92746.75962,17.01923077
62536,3042,2580755,1,0,92449.38462,30.38461538
80328,4214,1601674,1,0,92426.77885,21.93269231
23333,551,315828,1,0,92322.03365,167.2644231
