Peak viewers,Average viewers,Followers,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours
8428,1750,473780,1,0,92265.33654,52.71634615
17169,3367,672581,1,0,92068.79327,27.34134615
144956,73647,7251801,1,0,91704.75481,1.245192308
16800,2093,1659975,1,0,91664.75962,43.77884615
13801,3755,472134,1,0,91552.91346,24.37980769
5036,1825,170956,1,0,91517.96154,50.13942308
26304,2693,1453266,1,0,91457.48558,33.95192308
19620,2440,150669,1,0,91386.23558,37.45192308
6422,1634,1548385,1,0,91357.73077,55.88461538
38554,4386,390819,1,0,91177.67308,20.78846154
24637,4014,337922,1,0,90878.13942,22.63461538
191848,20002,466632,1,0,90299.11538,4.514423077
10007,1573,571427,1,0,90233.70192,57.33173077
27731,2390,430190,1,0,89856.65865,37.59134615
52747,6047,561598,1,0,89788.67788,14.84615385
41990,535,392718,1,0,89767.48558,167.7788462
3373,648,148338,0,0,89683.61538,138.3605769
10366,2824,207350,1,1,89656.59135,31.74038462
201960,20725,1706010,1,0,89277.75481,4.307692308
13014,1997,180929,1,0,89116.57212,44.60576923
8646,1915,658594,1,0,88980.02885,46.45192308
7900,1682,248811,1,1,88731.625,52.73076923
9726,3247,777484,1,0,88687.65865,27.3125
14016,2904,182981,1,0,88574.35577,30.5
13697,3914,1358599,1,0,88504.02885,22.61057692
21841,4616,390069,1,1,88416.17308,19.15384615
5570,525,780177,1,0,88370.71635,168.2980769
28679,4992,1273894,1,0,88262.50481,17.67788462
46355,4922,1111170,1,0,88222.1875,17.92307692
31560,6610,418884,1,0,88197.82692,13.34134615
17190,2876,744153,1,0,87928.19231,30.5625
7613,2526,229381,0,0,87851.22115,34.77884615
14433,2031,504790,1,0,87737.95673,43.17788462
15271,541,249184,1,0,87647.28365,161.7451923
69000,7579,433340,1,0,87603.16346,11.55769231
24977,2231,230359,1,0,87585.64904,39.25
18802,3905,101891,1,0,87579.04808,22.42307692
3934,1260,136351,1,0,87280.41346,69.23557692
50253,1879,1060709,1,0,87048.93269,46.32211538
26160,2959,196975,1,0,87019.07212,29.39903846
11058,3059,251443,1,1,86938.03846,28.41346154
6432,1951,368788,1,0,86659.80288,44.41346154
22113,8014,844384,1,0,86658.47115,10.8125
8936,2650,276674,1,1,86626.36538,32.6875
23044,3602,284134,1,0,86604.14423,24.03846154
30173,4777,333939,1,0,86344.42788,18.07211538
7519,2845,294395,1,0,86002.49038,30.22115385
71515,8410,1402379,1,0,85968.59135,10.22115385
26022,2819,183376,1,0,85947.83654,30.48557692
13046,1727,203225,1,0,85744.61058,49.64423077
34713,787,437055,1,0,85709.53365,108.8221154
16950,5045,309697,1,0,85670.8125,16.98076923
11555,4227,816621,1,1,85539.16346,20.23557692
8083,2009,457778,1,0,85327.20673,42.46634615
28511,2215,1645879,1,0,85217.88462,38.46153846
86632,6280,407714,1,0,85120.97596,13.55288462
6094,2277,64925,1,0,84969.35096,37.30288462
11798,1773,217321,1,0,84627.54808,47.71634615
3637,1768,233362,1,0,84472,47.77403846
9917,848,617309,1,1,84421.40385,99.51923077
30487,3083,194897,1,0,84253.6875,27.32211538
8903,1962,216061,1,0,84135.82692,42.86538462
4037,1810,171898,1,1,84061.64423,46.44230769
24136,4428,382589,1,0,84042.32212,18.97596154
5706,957,129991,1,0,83954.86538,87.70192308
19746,5215,359571,1,0,83850.03846,16.07692308
28253,6295,696063,1,0,83388.65865,13.24519231
8422,2478,267296,1,0,83310.39423,33.61538462
36579,11707,782919,1,0,83195.4375,7.105769231
10195,1842,429301,1,0,83054.54808,45.07692308
6020,1855,1619878,1,0,83046.57692,44.76923077
286930,30691,2040669,1,0,82925.38462,2.701923077
21913,2091,261387,1,0,82710.90385,39.55288462
19020,3155,522776,1,0,82678.4375,26.20192308
23351,3650,526955,1,0,82583.96154,22.62019231
15974,2099,615506,1,0,82562.86058,39.32211538
39859,5072,111135,0,0,82543.53846,16.27403846
5882,1744,47268,1,0,82529.71154,47.3125
9066,2350,501608,1,0,82494.53846,35.10096154
10225,1300,283962,1,0,82349.64423,63.30769231
32916,2261,202923,1,0,82287.53365,36.38461538
7339,2050,308506,1,1,82116.84135,40.05288462
13653,2638,794299,1,0,82091.22115,31.11057692
22818,10591,1232846,1,0,82033.73558,7.745192308
2021,521,368622,1,0,81518.83654,156.4182692
8112,1772,210701,1,1,81513.09135,46
12659,2388,762311,1,0,81510.24519,34.125
13115,2236,989758,1,0,81094.80769,36.25961538
27190,1534,303512,1,0,81075.375,52.82211538
8857,2165,473571,1,1,81047.02885,37.42307692
17886,1330,502595,1,0,81038.75481,60.92788462
4261,1829,379500,1,0,81023.28365,44.28846154
17777,2824,123740,1,0,80627.24519,28.54807692
16373,4270,1238424,1,0,80452.78846,18.84134615
6581,4136,158988,1,1,80330.61058,19.41826923
6282,1879,696661,1,0,80309.09615,42.72596154
23019,2731,262122,1,1,80271.6875,29.38942308
45305,4793,1142501,1,0,80238.77885,16.74038462
12864,2719,317261,1,1,80020.19712,29.42307692
16531,7529,674253,1,0,79895.21635,10.61057692
7600,2414,473696,1,1,79742.17308,33.01923077
22382,3061,408300,1,0,79448.04808,25.94711538
17178,3731,2002572,1,1,79405.71154,21.27884615
125195,14114,1677527,1,0,79391.98558,5.625
4275,1196,120596,1,1,79331.53846,66.29326923
9958,1548,747057,1,0,79282.09135,51.21634615
19859,3770,296831,1,0,79270.49038,21.02403846
21725,5902,1051942,1,1,79082.95192,13.39903846
14168,2910,1166858,1,1,78919.67308,27.12019231
12470,1869,296008,1,0,78872.42308,42.17788462
29686,8223,1779005,1,0,78676.08654,9.567307692
53819,22472,3663604,1,0,78655.14423,3.5
13691,3064,293380,1,1,78596.07212,25.64423077
17925,4200,555311,1,0,78459.05769,18.67788462
12357,2182,297690,1,0,78352.43269,35.89903846
6242,1631,90348,1,0,78340.72115,48.01923077
91829,23645,1307720,1,1,78099.92788,3.302884615
23475,4082,2212351,1,0,78000.14423,19.10576923
23337,4498,458207,1,0,77835.61058,17.30288462
5170,1888,97392,1,0,77827.46635,41.20673077
10628,2979,67779,1,0,77794.93269,26.11057692
11519,1302,412029,1,1,77777.03365,59.71153846
38417,5000,808057,1,0,77572.92308,15.51442308
11448,1300,556565,1,0,77421.64423,59.53846154
41829,1089,394771,1,0,77314.17308,70.96634615
22401,5278,457423,1,0,77141.61538,14.61538462
30662,1362,1305099,1,0,77130.49519,56.60576923
13482,490,310816,1,1,77076.75962,157.2211538
12901,1884,950848,1,0,77055.52404,40.88461538
32597,4148,610288,1,0,76793.08173,18.50961538
13335,2165,1138676,1,0,76594.3125,35.375
24833,7807,1484693,1,0,76494.48558,9.798076923
19984,2148,120690,1,1,76338.85577,35.52403846
10704,2479,257459,1,0,76245.89904,30.75
6800,457,244407,1,0,76222.97596,166.6778846
8528,2406,890347,1,0,76211.82692,31.66346154
13797,6259,1214182,1,0,76022.01442,12.14423077
53931,13126,716780,0,0,75980.0625,5.788461538
42766,2663,1300123,1,0,75922.37019,28.50961538
53585,9543,426865,1,0,75842.59135,7.947115385
39070,2982,382390,1,0,75677.80288,25.375
13415,3090,3295962,1,0,75673.40865,24.48557692
962,448,111348,1,0,75580.63942,168.3605769
8350,1404,115940,1,0,75472.44712,53.75480769
26787,1776,1334052,1,1,75450.16827,42.47115385
86085,10714,923808,0,1,75257.19712,7.024038462
9380,3218,272007,1,0,75174.42308,23.35576923
19498,1461,190050,1,0,75138.17308,51.41346154
37733,6006,11403035,1,0,75108.19712,12.50480769
14341,1238,692020,1,1,75086.875,60.625
12033,2097,361935,1,0,74957.54808,35.74038462
10706,4292,696735,1,0,74774.99038,17.41826923
26296,3117,820834,1,0,74765.22115,23.98557692
14720,3110,1167453,1,0,74718.89904,24.02403846
4283,1426,406396,1,0,74680.65865,52.36538462
187871,21103,647907,1,0,74673.70673,3.538461538
20263,1804,131283,1,0,74664.87981,41.37019231
39899,5064,189023,1,0,74620.04327,14.73557692
26362,3151,174073,1,0,74546.48077,23.65384615
14361,2117,484160,1,1,74482.32212,35.17788462
12949,1870,86800,1,0,74246.24038,39.70192308
18034,3861,102708,1,0,74214.99038,19.22115385
16554,529,290152,1,0,73837.44231,139.5144231
27001,3125,507785,1,1,73682.29327,23.57692308
14103,1287,170079,1,0,73558.87019,57.11538462
71396,11974,2435790,1,0,73519.07692,6.139423077
2927,1301,163611,1,0,73494.46635,56.49038462
5921,2613,392687,1,0,73455.75962,28.10576923
11484,1912,95155,1,1,73449.87981,38.39423077
13585,2604,1199755,1,0,73440.10096,28.19230769
20339,1847,564948,1,0,73243.09615,39.64903846
8466,1735,115727,1,0,73204.60577,42.16826923
5120,1986,112650,1,0,72595.36058,36.55288462
10892,1115,766375,1,0,72452.125,64.95673077
11524,2418,318892,1,1,72430.93269,29.95192308
10629,2844,281405,1,1,72392.27404,25.45192308
8167,2179,114638,1,0,72312.56731,33.17307692
10713,1717,259101,1,0,72273.26442,42.08173077
21244,3032,620448,1,1,72221.26923,23.81730769
6786,1497,220806,1,0,72204.58654,48.20673077
26872,4276,580484,1,0,72084.52885,16.85576923
1223,434,569953,1,1,71940.89423,165.75
3771,1568,103078,1,0,71919.92788,45.86538462
16785,3839,2158407,1,0,71796.66827,18.70192308
12621,1604,207876,1,1,71768.17788,44.72596154
21316,1689,203837,1,0,71743.71154,42.45673077
8966,2575,389791,1,0,71712.46154,27.84134615
23515,2330,130521,1,0,71599.28365,30.72115385
46383,7655,671841,1,0,71588.12019,9.350961538
12340,4406,498710,1,0,71555.51923,16.24038462
16539,3012,533665,0,0,71529.58654,23.74519231
11428,1851,211826,1,0,71497.68269,38.61057692
5434,1837,33410,1,0,71442.80288,38.88942308
11895,3195,380502,1,0,71394.26923,22.34134615
9841,1163,596507,1,1,71388.70192,61.34615385
74775,7179,1055993,1,0,71305.28846,9.932692308
81686,21636,737048,1,0,71254.91346,3.293269231
11176,2155,180101,1,0,71063.63462,32.97115385
14769,2305,932946,1,0,70900.03365,30.75961538
12456,1664,142989,1,0,70891.31731,42.59615385
12086,1748,231965,1,0,70843.41346,40.52884615
18638,2826,152882,1,0,70811.79808,25.04807692
17654,4629,1042927,1,1,70706.92788,15.27403846
8640,1932,277568,1,0,70679.98077,36.56730769
17009,2393,611630,1,1,70665.55769,29.52403846
18250,3638,824683,1,0,70642.98558,19.41346154
8634,1748,135653,1,0,70579.04808,40.37019231
16772,1448,124101,1,0,70433.69712,48.625
18678,2418,173127,1,0,70429.07212,29.125
8423,1658,192967,1,0,70407.01442,42.45192308
6855,1998,4687561,1,0,70366.27404,35.20673077
5619,2448,840329,1,0,70311.32692,28.71634615
7448,1588,176478,1,0,70116.91346,44.12980769
17787,1481,100432,1,0,69933.23558,47.20192308
13057,3185,1506331,1,0,69903.21154,21.94711538
9425,1523,131113,0,0,69787.34135,45.81730769
16090,2457,548605,1,0,69730.89423,28.375
8166,2319,155782,1,1,69656.74038,30.03365385
65047,12446,2598190,1,1,69653.41827,5.596153846
8059,2042,111296,1,0,69397.28846,33.98557692
15575,1802,1206957,1,0,69363.08173,38.47115385
16142,5184,180720,1,0,69324.75481,13.37019231
3895,1594,156595,1,0,69324.75,43.46634615
7753,2605,271289,1,1,69300.16346,26.60096154
14588,3105,604249,1,0,69299.19231,22.31730769
12531,2048,476872,1,0,69262.21154,33.81730769
4521,1683,141931,1,1,69175.70673,41.08653846
13558,1480,153227,1,1,69073.20192,46.66826923
10997,1905,313147,1,1,69014.50481,36.22115385
28514,2788,588547,1,1,68739,24.64903846
15672,2488,422480,1,0,68736.14423,27.625
19902,5353,409333,1,0,68716.11058,12.83653846
7554,1921,153563,1,0,68649.11058,35.72596154
14189,2227,836073,1,0,68581.65385,30.78365385
7942,2497,160397,1,1,68509.70192,27.4375
69912,21602,1466313,1,0,68233.41346,3.158653846
17869,1173,211215,1,0,68152.00481,58.05288462
9567,1864,230332,1,0,68121.54327,36.52884615
17765,6176,1004564,1,1,68120.40865,11.02884615
30984,4417,865161,1,0,68002.05288,15.39423077
10482,2339,598661,0,0,67999.4375,29.0625
10817,1834,1585464,1,0,67968.25481,37.05288462
10688,2688,537001,1,0,67953.89904,25.27403846
6597,1901,302168,1,1,67924.35577,35.71634615
4559,1218,185123,1,0,67884.23077,55.6875
28492,4924,1862673,1,0,67855.75962,13.77884615
6292,1748,931072,1,1,67812.71635,38.79326923
6881,1476,349372,1,1,67790.92788,45.90865385
26423,4733,833723,1,0,67719.95673,14.30769231
7716,2142,592448,1,1,67585.55288,31.54326923
45306,6932,231378,1,0,67489.77885,9.735576923
4010,1585,204027,1,0,67470.44712,42.53846154
35481,1516,264104,1,1,67431.27404,44.45192308
8081,3047,336031,1,0,67155.55769,22.03846154
36188,3446,220414,1,0,67064.00962,19.45673077
8245,1518,148997,1,0,67058.77885,44.16826923
24832,1314,360304,1,0,67032.42788,50.99038462
14888,3521,561166,1,0,66982.08173,19.01923077
18765,7068,1280532,1,0,66949.00481,9.471153846
14295,1234,261997,0,0,66856.54808,54.14423077
14425,3278,2860900,1,0,66816.5625,20.37980769
6539,2829,99929,1,0,66731.03846,23.58173077
27139,622,951993,1,0,66597.98077,106.9375
8031,1608,647490,1,0,66562.52885,41.39423077
12287,1849,344080,1,1,66414.29808,35.90865385
10636,1813,413371,1,0,66326.76442,36.57692308
9939,3043,130176,1,1,66323.64904,21.78846154
64504,1186,237052,1,0,66247.34615,55.83173077
15918,3982,1073152,1,0,66194.46635,16.62019231
14154,1273,203330,1,0,66136.26442,51.91826923
20586,1359,1080339,1,0,66093.55288,48.62019231
11334,2069,91358,1,0,66053.26442,31.91826923
33294,2970,106706,1,0,65998.13942,22.22115385
7740,1159,116784,1,0,65714.32692,56.69230769
20345,3535,214076,1,0,65582.30769,18.54807692
29128,1282,1989766,1,0,65573.875,51.125
7861,1383,213039,1,0,65497.58173,47.36057692
9187,2231,83015,1,0,65352.14423,29.28365385
10017,1958,112254,1,0,64980.98077,33.17788462
17057,2032,165555,1,0,64712.69712,31.83653846
4048,1776,61867,1,0,64646.78846,36.38461538
7305,1380,441743,1,0,64375.24519,46.64423077
22476,2708,804041,1,1,64270.28846,23.73076923
8056,1072,115302,1,0,63990.03846,59.65384615
13599,2741,1499495,1,0,63903.74519,23.30769231
8107,2211,592120,1,0,63888.22115,28.89423077
7456,1243,1059773,1,1,63867.25481,51.37980769
52878,3599,132231,1,0,63740.73077,17.70673077
5943,1871,175393,1,0,63709.86058,34.03846154
6390,2113,71623,1,0,63557.92788,30.06730769
9825,1719,320485,1,0,63533.37019,36.95673077
55598,1625,647142,1,0,63473.70673,39.05288462
22368,2323,212058,1,0,63427.8125,27.30288462
9419,1987,323857,1,0,63425.86058,31.90865385
3909,1202,141189,1,0,63362.30288,52.69711538
34880,6258,1110873,1,0,63333.04327,10.12019231
8441,1179,450415,1,0,63304.10096,53.66826923
13240,1877,912437,1,0,63118.92308,33.62019231
3886,1890,492314,1,1,63091.42308,33.37019231
4682,1905,127025,1,0,62885.54327,33.00961538
112381,4986,3169017,1,0,62876.63942,12.61057692
5519,2186,63761,1,0,62840.57212,28.74038462
22535,2645,553289,1,0,62820.625,23.74519231
14673,2886,176662,1,0,62714.29327,21.73076923
17422,4716,336996,1,0,62671.70673,13.28846154
31319,8492,704726,1,0,62629.11538,7.375
10498,1141,93942,1,0,62579.42308,54.82692308
15803,3725,1828674,1,0,62486.34615,16.77403846
7934,1400,127733,1,0,62420.35096,44.58173077
8609,2291,296387,1,1,62416.14904,27.23557692
8052,1299,231779,1,1,62391.55769,48.01442308
12957,2401,1715064,1,0,62358.625,25.97115385
6548,1337,322711,1,0,62184.76923,46.49038462
19673,4993,343702,1,0,62174.82212,12.45192308
23128,3939,268787,1,0,62171.89423,15.78365385
16521,1444,1256433,1,0,62160.8125,43.02884615
20476,3108,2713442,1,0,62061.89423,19.96634615
12165,1556,989476,1,0,62046.34135,39.85576923
5793,2784,471378,1,1,62034.16346,22.27884615
5149,1101,296517,1,0,61955.29808,56.25961538
1546,415,242383,1,0,61916.94712,149.0817308
5450,1627,354906,1,0,61827.0625,37.99519231
28037,3173,479809,1,0,61805.67308,19.47596154
13467,1561,69257,1,0,61793.23558,39.57692308
16293,1240,457917,1,0,61780.35096,49.8125
21694,3635,2957433,1,0,61762.36538,16.99038462
10037,1939,238815,1,0,61697.51923,31.81730769
6350,1767,211227,1,0,61670.18269,34.88942308
5209,366,363382,1,0,61663.19712,168.1346154
5053,1606,558529,1,0,61612.23558,38.35096154
4673,1543,172234,1,0,61540.64423,39.875
18910,1286,800707,1,0,61536.12981,47.83173077
10389,2371,69800,1,0,61520.95192,25.94711538
10364,1515,322478,1,0,61333.48077,40.48076923
4335,1188,254862,1,0,61035.92788,51.36057692
4472,1552,542722,1,1,60881.49519,39.21634615
12864,955,125183,1,0,60867.25481,63.70673077
7749,1378,230408,1,1,60810.8125,44.125
8279,1484,446197,1,0,60801.9375,40.96634615
4721,844,92379,1,0,60608.96154,71.75961538
6716,1300,368227,1,0,60581.09135,46.57211538
37109,2069,401822,0,0,60478.27885,29.22115385
5188,1415,61139,1,0,60453.64423,42.70192308
26037,3118,937143,1,0,60293.40865,19.33653846
12821,1595,232649,1,1,60288.80769,37.77884615
6353,2680,174727,1,1,60203.47115,22.45673077
19900,1937,176785,1,0,60190.11058,31.07211538
5567,1906,173946,1,1,60081.9375,31.50961538
13052,1062,521638,1,0,60049.82212,56.52403846
16784,2879,503785,1,0,59916.97596,20.80769231
2906,841,137501,1,1,59881.44231,71.14423077
9976,2455,161663,1,1,59869.09615,24.37980769
24936,2038,370443,0,1,59828.625,29.35096154
9833,1552,354127,1,0,59816.40865,38.51923077
59413,2812,508842,1,0,59725.41346,21.23557692
6249,1456,54243,1,1,59719.83173,41
4683,1464,379166,1,0,59710.86538,40.78365385
5609,1845,129425,1,1,59680.63462,32.34615385
47082,3926,1472680,1,0,59646.63942,15.19230769
19901,1175,223809,1,0,59627.90865,50.73076923
14130,1673,362739,1,0,59610.5,35.61057692
6922,1247,115294,1,0,59602.37019,47.79326923
12516,3825,1166031,1,0,59593.11058,15.57692308
4482,1139,247304,1,0,59427.66827,52.17307692
17651,1735,121277,1,1,59381.85096,34.20673077
7632,1151,55979,0,0,59365.62019,51.5625
15261,1717,468708,1,0,59312.21154,34.52884615
8013,1931,232977,1,0,59270.21154,30.6875
4045,1698,57113,1,1,59160.58173,34.82211538
39767,11952,1776780,1,1,59132.22115,4.947115385
7874,1770,802651,1,0,59125.36058,33.38942308
6145,1129,584626,1,0,59118.01923,52.35096154
3628,1240,71596,1,0,59104.36058,47.66826923
15827,1362,592761,1,0,58875.90865,43.20673077
34702,2100,476178,1,0,58801.28365,27.99038462
29319,1784,331842,1,1,58746.70192,32.91346154
1395,372,164058,1,0,58662.02404,157.5096154
5845,1569,1041901,1,1,58592.65385,37.34134615
1891,561,57047,0,1,58559.36538,104.2259615
8994,1385,249969,1,0,58431.81731,42.18269231
10053,1704,192694,1,0,58389.79808,34.25480769
32009,1522,466584,1,0,58338.3125,38.30769231
14182,3950,260994,1,0,58300.58654,14.75961538
19612,2296,131985,1,0,58225.61538,25.35576923
18115,3693,479851,1,0,58055.07212,15.72115385
5800,1598,319312,1,1,57993.60096,36.27403846
55612,7641,4470111,1,0,57858.25,7.572115385
9867,1520,142653,1,0,57831.40865,38.02403846
77934,1698,430771,1,1,57760.06731,34.00480769
4227,929,28413,1,0,57756.84135,62.15384615
6222,967,67606,1,0,57720.71635,59.66346154
10407,989,313753,1,0,57687.08654,58.28846154
16323,2205,279013,0,0,57682.38462,26.15865385
28919,3618,102050,0,0,57617.11538,15.92307692
8065,869,230585,1,0,57544.68269,66.16346154
15382,2108,282903,1,1,57537.98558,27.28846154
13944,1162,555129,1,0,57495.21635,49.47596154
4049,1817,714794,1,0,57468.73558,31.62019231
3974,1324,462146,1,0,57424.55288,43.35576923
10725,1565,336408,1,0,57409.72115,36.67307692
4385,1084,267681,1,0,57384.62019,52.90865385
26755,3791,654325,1,0,57377.56731,15.13461538
20198,2984,719484,1,0,57371.23077,19.22115385
33909,2032,806312,1,0,57342.40385,28.20673077
62034,2065,3221687,1,0,57302.98077,27.74519231
12484,1264,1533419,1,1,57255.33654,45.26442308
19572,2193,126424,1,0,57137.36058,26.05288462
12808,1587,140631,1,0,57133.60096,35.98557692
18947,1810,1298655,1,0,57127.19712,31.55288462
28252,3128,603380,1,0,57099.20673,18.25480769
15474,3641,173585,1,0,57015.44231,15.65865385
24213,13606,771309,1,1,56975.57212,4.1875
13611,3176,470053,1,0,56950.91827,17.93269231
13737,1001,617162,1,0,56822.04808,56.73557692
3919,1242,66982,1,0,56682.83173,45.63461538
9857,1474,195751,1,0,56650.55769,38.41346154
54636,9344,700417,1,0,56561.58173,6.052884615
156705,31444,6325133,1,0,56539.18269,1.798076923
18907,2879,183746,1,0,56516.63462,19.625
109321,4927,6820911,1,0,56408.29327,11.44711538
4220,1621,102223,1,1,56359.07212,34.75480769
24325,3782,259294,1,0,56347.86058,14.89903846
8872,2095,516892,1,0,56324.75481,26.875
10901,1955,253240,1,1,56258.40385,28.76923077
5239,662,53528,1,0,56243.37981,84.93269231
7462,1049,112288,1,0,56173.75,53.51923077
3827,1065,186575,1,1,56162.21635,52.70192308
19575,3243,249505,1,0,56054.64904,17.28365385
25020,1485,960965,1,0,56000.68269,37.69711538
45933,1477,141070,1,0,55992.42788,37.89423077
4921,1322,1093377,1,0,55928.46154,42.28846154
38965,1807,982442,1,0,55912.08173,30.93269231
22632,1037,884468,1,0,55827.02885,53.82211538
4608,1195,840418,1,0,55693.5625,46.58173077
24843,1540,768192,1,0,55636.17308,36.11538462
72957,2443,499107,1,0,55608.79808,22.75961538
10198,1411,253599,1,0,55512.56731,39.34134615
7333,1187,137639,1,0,55494.98077,46.74519231
9371,3318,302551,1,0,55493.47596,16.72115385
10742,2891,778322,1,0,55488.41346,19.1875
2694,1330,183054,1,0,55432.78846,41.66826923
2732,1076,128338,1,0,55394.14423,51.46153846
12951,1236,315956,1,0,55301.39423,44.72115385
71983,11440,2591600,1,0,55278.30769,4.831730769
9485,3507,238123,1,0,55269.27404,15.75961538
42706,2531,847218,1,0,55188.51923,21.79807692
5468,1245,324448,1,0,55154.96154,44.28846154
10774,2618,193532,1,0,55005.95673,21.00961538
5759,1362,109030,1,0,54996.77885,40.37019231
18869,1978,372527,1,0,54988.83654,27.78846154
8398,1425,296008,1,0,54988.58654,38.56730769
7758,1061,106016,1,0,54968.44231,51.77403846
88152,2766,738457,1,1,54958.99519,19.86538462
13870,2029,165604,1,0,54932.67788,27.0625
7619,1681,172401,1,0,54884.77404,32.63461538
8111,964,115004,1,0,54819.07212,56.82692308
10247,1181,496942,1,1,54741.95192,46.34615385
